Date, Rate
3/18/2020,0.1
3/19/2020,0.06
3/20/2020,0.04
3/23/2020,0.02
3/24/2020,0.01
3/25/2020,0.01
3/26/2020,0.01
3/27/2020,0.01
3/30/2020,0.01
3/31/2020,0.01
2020-04-01,0.01
2020-04-02,0.01
2020-04-03,0.01
2020-04-06,0.01
2020-04-07,0.01
2020-04-08,0.01
2020-04-09,0.01
2020-04-13,0.02
2020-04-14,0.06
2020-04-15,0.03
2020-04-16,0.03
2020-04-17,0.03
2020-04-20,0.02
2020-04-21,0.01
2020-04-22,0.01
2020-04-23,0.01
2020-04-24,0.03
2020-04-27,0.03
2020-04-28,0.01
2020-04-29,0.01
2020-04-30,0.04
